iter	Passed	Remaining
0	6	6042
1	11	5941
2	19	6327
3	26	6703
4	34	6787
5	39	6485
6	44	6251
7	50	6253
8	55	6122
9	61	6051
10	68	6175
11	75	6186
12	79	6035
13	86	6093
14	92	6094
15	101	6262
16	108	6292
17	116	6354
18	123	6355
19	130	6405
20	137	6395
21	143	6380
22	151	6420
23	157	6408
24	165	6436
25	172	6453
26	179	6479
27	186	6476
28	192	6459
29	202	6547
30	209	6562
31	218	6622
32	226	6623
33	232	6616
34	239	6597
35	247	6634
36	254	6622
37	261	6627
38	269	6636
39	276	6625
40	283	6636
41	290	6629
42	298	6635
43	303	6598
44	309	6568
45	318	6597
46	324	6589
47	332	6588
48	338	6572
49	346	6585
50	353	6569
51	360	6570
52	366	6552
53	374	6557
54	381	6547
55	387	6540
56	393	6506
57	400	6510
58	410	6545
59	419	6567
60	424	6541
61	430	6520
62	437	6512
63	447	6545
64	454	6534
65	462	6539
66	468	6530
67	477	6550
68	484	6538
69	492	6549
70	500	6544
71	509	6561
72	518	6586
73	525	6574
74	533	6577
75	544	6615
76	552	6617
77	559	6617
78	566	6607
79	575	6617
80	581	6598
81	588	6585
82	596	6591
83	602	6572
84	610	6568
85	618	6570
86	625	6563
87	630	6537
88	637	6520
89	644	6518
90	651	6503
91	658	6499
92	665	6489
93	673	6494
94	680	6486
95	689	6488
96	696	6487
97	703	6478
98	715	6508
99	723	6510
100	729	6496
101	737	6488
102	743	6478
103	750	6467
104	758	6467
105	765	6454
106	774	6461
107	780	6447
108	789	6451
109	795	6436
110	805	6448
111	812	6444
112	820	6443
113	827	6432
114	835	6427
115	842	6418
116	848	6403
117	856	6403
118	863	6392
119	870	6384
120	877	6376
121	884	6365
122	891	6354
123	895	6324
124	903	6323
125	910	6317
126	918	6311
127	924	6300
128	930	6285
129	938	6279
130	944	6264
131	951	6254
132	956	6237
133	963	6227
134	970	6221
135	978	6215
136	986	6216
137	993	6207
138	1002	6209
139	1010	6205
140	1017	6201
141	1024	6189
142	1031	6178
143	1039	6177
144	1045	6166
145	1050	6145
146	1057	6134
147	1064	6125
148	1071	6118
149	1078	6114
150	1086	6107
151	1091	6091
152	1098	6081
153	1106	6079
154	1114	6076
155	1120	6059
156	1124	6040
157	1132	6036
158	1139	6025
159	1147	6023
160	1154	6015
161	1161	6005
162	1168	6000
163	1174	5987
164	1183	5989
165	1190	5980
166	1197	5975
167	1205	5969
168	1212	5960
169	1218	5951
170	1225	5942
171	1233	5938
172	1239	5924
173	1246	5918
174	1252	5906
175	1260	5900
176	1266	5888
177	1272	5878
178	1280	5872
179	1286	5859
180	1295	5862
181	1302	5854
182	1310	5850
183	1317	5841
184	1323	5830
185	1331	5827
186	1338	5818
187	1345	5813
188	1352	5802
189	1359	5796
190	1366	5787
191	1373	5778
192	1381	5775
193	1388	5769
194	1397	5770
195	1404	5761
196	1412	5756
197	1417	5742
198	1425	5736
199	1431	5727
200	1438	5718
201	1445	5710
202	1450	5695
203	1457	5688
204	1464	5678
