iter	Logloss
0	0.6851908923
1	0.6777427157
2	0.6710011256
3	0.6648282703
4	0.65931815
5	0.6540906853
6	0.6491505899
7	0.6446285294
8	0.6409939006
9	0.6371155537
10	0.6337717473
11	0.6309403228
12	0.6283135784
13	0.6255258463
14	0.6231656657
15	0.6210087643
16	0.6187456487
17	0.6168968662
18	0.61502802
19	0.6133719484
20	0.6116255471
21	0.610302138
22	0.608868784
23	0.6076960445
24	0.6064675214
25	0.6052219333
26	0.6041070676
27	0.6030622216
28	0.6022052846
29	0.6013336957
30	0.6004649024
31	0.599747079
32	0.5991293452
33	0.5983728527
34	0.597748484
35	0.597130308
36	0.5965765037
37	0.5960339253
38	0.5955221358
39	0.5950772966
40	0.5946687472
41	0.5942638183
42	0.593840861
43	0.5934562494
44	0.5931071001
45	0.5927448912
46	0.5924404645
47	0.5922145884
48	0.5919627207
49	0.5916933345
50	0.5914287452
51	0.5911975394
52	0.590939799
53	0.5907102204
54	0.5904826715
55	0.5902393936
56	0.5900511942
57	0.589864649
58	0.5897004706
59	0.589491746
60	0.5893824381
61	0.5892579361
62	0.5890735981
63	0.5888881496
64	0.5887706527
65	0.5886481031
66	0.588477624
67	0.5883114581
68	0.5881418677
69	0.588008323
70	0.587814358
71	0.5876659124
72	0.5875498481
73	0.5874211694
74	0.5873025038
75	0.5871388309
76	0.5870056302
77	0.5868573805
78	0.5867359223
79	0.5866504432
80	0.5865982998
81	0.5865030912
82	0.5863880103
83	0.5862688045
84	0.5862206195
85	0.5861336001
86	0.5859907391
87	0.5859184695
88	0.5857965678
89	0.5856894516
90	0.5856046816
91	0.5855262616
92	0.5853770901
93	0.5852522093
94	0.5851621431
95	0.5849858432
96	0.5849046503
97	0.5848070487
98	0.584709768
99	0.584592079
100	0.5845105649
101	0.5844511005
102	0.5843937115
103	0.5843091691
104	0.5842474495
105	0.5841882515
106	0.584109605
107	0.5840612717
108	0.5839672583
109	0.5839125087
110	0.5837941717
111	0.5836768782
112	0.5835895652
113	0.5834957752
114	0.5834521609
115	0.5834183133
116	0.5833498115
117	0.5832541659
118	0.583182325
119	0.5831015499
120	0.5830610162
121	0.5829954524
122	0.5829283834
123	0.5829270429
124	0.5828701281
125	0.582818031
126	0.582742783
127	0.5826829567
128	0.5826183303
129	0.5825677322
130	0.5825305946
131	0.5824951901
132	0.5824546414
133	0.5823702556
134	0.5823119335
135	0.5822362786
136	0.5821693014
137	0.5820853225
138	0.5820519877
139	0.5820186946
140	0.5819822867
141	0.5819417573
142	0.5819168186
143	0.5818519424
144	0.5818064645
145	0.5818024172
146	0.5817473017
147	0.5817217715
148	0.5816511803
149	0.5815981695
150	0.5815118386
151	0.5814708928
152	0.5813519842
153	0.581283237
154	0.5812236175
155	0.5811944859
156	0.5811727018
157	0.5811366339
158	0.5810963838
159	0.5810171055
160	0.5809277724
161	0.5808812873
162	0.5808565237
163	0.5807987746
164	0.5807451711
165	0.5806761239
166	0.5806606577
167	0.5806201353
168	0.5805821774
169	0.5805446035
170	0.5804869222
171	0.580415623
172	0.5803759127
173	0.5803402097
174	0.5802907757
175	0.5802447824
176	0.5802264631
177	0.5801647295
178	0.5801484544
179	0.5800401761
180	0.5799883962
181	0.5799640657
182	0.579928714
183	0.5798934285
184	0.5798687985
185	0.5798281394
186	0.5797926959
187	0.5797386522
188	0.5796778171
189	0.5796437455
190	0.5796217576
191	0.5795756092
192	0.5795533936
193	0.5794908164
194	0.5794559515
195	0.5794007291
196	0.5793814564
197	0.5793703781
198	0.5793256171
199	0.5792863401
200	0.579207265
201	0.5791629627
202	0.579064404
203	0.5789983642
204	0.57897438
205	0.5789171858
206	0.5788875467
207	0.5788545759
208	0.5788022304
209	0.5787812799
210	0.5787547222
211	0.5787046594
212	0.5786831033
213	0.5786305979
214	0.5785821583
215	0.5785312433
216	0.578515372
217	0.5784945166
218	0.5784360103
219	0.5783878139
220	0.5783634301
221	0.5783074141
222	0.5782710171
223	0.5782471703
224	0.5782298493
225	0.5782045031
226	0.5782042089
227	0.578170123
228	0.5781393421
229	0.5781132852
230	0.5780923098
231	0.5780290467
232	0.5780070573
233	0.5779790207
234	0.5779186082
235	0.5778878156
236	0.5778481019
237	0.5777982923
238	0.5777559031
239	0.5777254489
240	0.577708215
241	0.5776358533
242	0.5776185889
243	0.5775957868
244	0.5775823163
245	0.5775708653
246	0.5775403159
247	0.5775221111
248	0.5774867691
249	0.5774863743
250	0.5774567977
251	0.5774216578
252	0.5774106137
253	0.5773932031
254	0.5773755277
255	0.5773390395
256	0.5772944947
257	0.5772204043
258	0.5771701124
259	0.5771249744
260	0.5770907141
261	0.5770648859
262	0.5770290191
263	0.5769933958
264	0.5769574187
265	0.5769274325
266	0.5768557964
267	0.5768295998
268	0.5768025698
269	0.5767906152
270	0.576741134
271	0.5767001869
272	0.5766022965
273	0.5765469277
274	0.5765250836
275	0.5765134653
276	0.5764945347
277	0.576421042
278	0.5763730692
279	0.5763463323
280	0.5763270069
281	0.5763024241
282	0.5762565766
283	0.5762129572
284	0.5761233668
285	0.5760558794
286	0.5760171801
287	0.5760010593
288	0.5759765045
289	0.5759466553
290	0.57590466
291	0.5758789996
292	0.5758566339
293	0.5758139785
294	0.5757901008
295	0.575761203
296	0.575687533
297	0.5756734927
298	0.575636266
299	0.5756137771
300	0.5755342037
301	0.5755127266
302	0.5754549598
303	0.5754448602
304	0.5754129195
305	0.5753979124
306	0.5753368486
307	0.5753038516
308	0.5752298087
309	0.5751809648
310	0.575136501
311	0.5751015233
312	0.5750812823
313	0.5750492238
314	0.5750297067
315	0.5750019316
316	0.5749679811
317	0.5749538911
318	0.5748822882
319	0.5748534087
320	0.574834787
321	0.5748152713
322	0.5747582138
323	0.5747259692
324	0.5746944925
325	0.5746384144
326	0.5746028132
327	0.5745770837
328	0.5745577915
329	0.574535036
330	0.5745064183
331	0.5744491049
332	0.5744361876
333	0.5744138306
334	0.5743868048
335	0.5743499076
336	0.5743182782
337	0.5742837971
338	0.574224607
339	0.5741825181
340	0.5741312216
341	0.5740981567
342	0.5740807521
343	0.5740350562
344	0.5740155924
345	0.5739726683
346	0.5739527714
347	0.5738963996
348	0.5738744604
349	0.5738627671
350	0.5738408434
351	0.5738274864
352	0.5738087399
353	0.5737711927
354	0.5737317077
355	0.5737053222
356	0.5736765346
357	0.5736620848
358	0.5736133463
359	0.5735672757
360	0.5735341146
361	0.5734904004
362	0.5734545788
363	0.5734455698
364	0.5734202883
365	0.5733840278
366	0.5733647381
367	0.5733466772
368	0.5732975768
369	0.5732766618
370	0.5732564939
371	0.5732264448
372	0.5731873163
373	0.5731542707
374	0.5731256032
375	0.5730982126
376	0.5730529992
377	0.5730339593
378	0.5730205118
379	0.5730017605
380	0.5729718539
381	0.5729442916
382	0.5729339493
